date,close,change,change_pct,per,pbr,dividend_yield_pct
2008-07-08,1533.47,-46.25,-2.93,12.16,1.28,1.98
2008-07-09,1519.38,-14.09,-0.92,12.05,1.27,2
2008-07-10,1537.43,18.05,1.19,12.19,1.28,1.97
2008-07-11,1567.51,30.08,1.96,12.43,1.31,1.94
2008-07-14,1558.62,-8.89,-0.57,12.36,1.3,1.95
2008-07-15,1509.33,-49.29,-3.16,11.97,1.26,2.01
2008-07-16,1507.4,-1.93,-0.13,11.95,1.26,2.01
2008-07-17,1525.56,18.16,1.2,12.09,1.27,1.99
2008-07-18,1509.99,-15.57,-1.02,11.97,1.26,2.01
2008-07-21,1562.92,52.93,3.51,12.4,1.3,1.94
2008-07-22,1561.23,-1.69,-0.11,12.38,1.3,1.94
2008-07-23,1591.76,30.53,1.96,12.63,1.33,1.91
2008-07-24,1626.14,34.38,2.16,12.91,1.36,1.87
2008-07-25,1597.93,-28.21,-1.73,12.68,1.33,1.9
2008-07-28,1598.29,0.36,0.02,12.68,1.33,1.9
2008-07-29,1567.2,-31.09,-1.95,12.43,1.31,1.94
2008-07-30,1577.7,10.5,0.67,12.5,1.31,1.92
2008-07-31,1594.67,16.97,1.08,12.67,1.33,1.9
2008-08-01,1573.77,-20.9,-1.31,12.21,1.3,1.98
2008-08-04,1543.05,-30.72,-1.95,11.98,1.28,2.02
2008-08-05,1535.54,-7.51,-0.49,11.93,1.27,2.03
2008-08-06,1578.71,43.17,2.81,12.26,1.31,1.97
2008-08-07,1564,-14.71,-0.93,12.15,1.29,1.99
2008-08-08,1568.72,4.72,0.3,12.18,1.3,1.99
2008-08-11,1581.09,12.37,0.79,12.28,1.31,1.97
2008-08-12,1577.12,-3.97,-0.25,12.25,1.31,1.98
2008-08-13,1562.72,-14.4,-0.91,12.14,1.29,2
2008-08-14,1572.19,9.47,0.61,12.21,1.3,1.98
2008-08-18,1567.71,-4.48,-0.28,12.18,1.3,1.99
2008-08-19,1541.41,-26.3,-1.68,11.97,1.28,2.02
2008-08-20,1540.71,-0.7,-0.05,11.96,1.28,2.02
2008-08-21,1512.59,-28.12,-1.83,11.75,1.25,2.06
2008-08-22,1496.91,-15.68,-1.04,11.62,1.24,2.08
2008-08-25,1502.11,5.2,0.35,11.67,1.24,2.08
2008-08-26,1490.25,-11.86,-0.79,11.58,1.23,2.09
2008-08-27,1493.92,3.67,0.25,11.61,1.24,2.09
2008-08-28,1474.15,-19.77,-1.32,11.45,1.22,2.12
2008-08-29,1474.24,0.09,0.01,11.46,1.22,2.12
2008-09-01,1414.43,-59.81,-4.06,11,1.17,2.21
2008-09-02,1407.14,-7.29,-0.52,10.95,1.17,2.22
2008-09-03,1426.89,19.75,1.4,11.1,1.18,2.19
2008-09-04,1426.43,-0.46,-0.03,11.09,1.18,2.19
2008-09-05,1404.38,-22.05,-1.55,10.92,1.16,2.22
2008-09-08,1476.65,72.27,5.15,11.48,1.22,2.11
2008-09-09,1454.5,-22.15,-1.5,11.31,1.2,2.15
2008-09-10,1464.98,10.48,0.72,11.39,1.21,2.13
2008-09-11,1443.24,-21.74,-1.48,11.22,1.2,2.16
2008-09-12,1477.92,34.68,2.4,11.48,1.22,2.11
2008-09-16,1387.75,-90.17,-6.1,10.78,1.15,2.25
