date,close,change,change_pct,open,high,low,volume_thousand_shares,trading_value_million_krw,market_cap_million_krw
2007-11-19,1893.47,-32.73,-1.7,1936.38,1936.5,1892.87,292324,5175289,947541137
2007-11-20,1872.24,-21.23,-1.12,1853.41,1875.46,1819.18,331755,6268520,936940517
2007-11-21,1806.99,-65.25,-3.49,1865.91,1875.98,1803.77,307454,6427691,904570945
2007-11-22,1799.02,-7.97,-0.44,1790.25,1815.33,1771.39,306221,6055858,900834314
2007-11-23,1772.88,-26.14,-1.45,1806.02,1820.61,1745.26,326672,7650114,888337579
2007-11-26,1855.33,82.45,4.65,1803.76,1855.33,1795,290919,6342464,929072627
2007-11-27,1859.79,4.46,0.24,1813.09,1865.69,1787.95,338312,7466149,930981694
2007-11-28,1834.69,-25.1,-1.35,1881.86,1883.99,1833.8,324837,6069295,918531802
2007-11-29,1877.56,42.87,2.34,1885.32,1891.45,1871.59,347704,6486133,940222687
2007-11-30,1906,28.44,1.51,1886.58,1918.12,1884.92,339308,6735347,953827057
2007-12-03,1902.43,-3.57,-0.19,1907.95,1912.71,1888.08,291554,4871953,951957650
2007-12-04,1917.83,15.4,0.81,1904.33,1921.83,1901.51,288561,5133442,959877660
2007-12-05,1938.2,20.37,1.06,1911.92,1945.03,1905.65,310281,5361085,970217824
2007-12-06,1953.17,14.97,0.77,1965.89,1972.37,1946.13,339167,6975440,978371993
2007-12-07,1934.32,-18.85,-0.97,1969.49,1969.56,1934.32,361150,6203904,968499894
2007-12-10,1906.42,-27.9,-1.44,1930.36,1935.86,1900.95,284759,5462691,954938808
2007-12-11,1925.07,18.65,0.98,1922.66,1929.71,1904.21,264531,4875312,964153154
2007-12-12,1927.45,2.38,0.12,1887.5,1928.77,1887.23,314547,5669074,965107103
2007-12-13,1915.9,-11.55,-0.6,1921.65,1937.5,1897.25,328586,7124384,959471847
2007-12-14,1895.05,-20.85,-1.09,1914.47,1921.53,1877.27,301462,5323501,949893653
2007-12-17,1839.82,-55.23,-2.91,1873.15,1886.39,1839.58,282472,4814299,922780652
2007-12-18,1861.47,21.65,1.18,1821.3,1869.71,1808.86,277037,5319219,933806477
2007-12-20,1844.37,-17.1,-0.92,1878.59,1882.61,1843.73,401817,5893808,925285010
2007-12-21,1878.32,33.95,1.84,1855.06,1878.32,1832.34,362582,5644607,942224558
2007-12-24,1919.47,41.15,2.19,1899.2,1921.39,1894.79,317065,5192200,963218641
2007-12-26,1906.72,-12.75,-0.66,1924.91,1926.09,1901.91,260977,3901140,956993648
2007-12-27,1908.62,1.9,0.1,1901.93,1915.19,1891.29,235851,3868743,957481584
2007-12-28,1897.13,-11.49,-0.6,1892.56,1911.67,1890.81,229424,3682481,951904852
2008-01-02,1853.45,-43.68,-2.3,1891.45,1892.5,1852.78,247086,4536509,929976275
2008-01-03,1852.73,-0.72,-0.04,1834.44,1858.08,1821.61,253668,4534043,929548593
2008-01-04,1863.9,11.17,0.6,1853.54,1869.76,1824.41,299084,5651997,934853851
2008-01-07,1831.14,-32.76,-1.76,1815.73,1840.99,1814.35,268130,5303419,918362010
2008-01-08,1826.23,-4.91,-0.27,1838.64,1840.62,1818.69,296574,5356822,915751031
2008-01-09,1844.47,18.24,1,1802.06,1844.47,1794.15,277671,5323531,924705054
2008-01-10,1824.78,-19.69,-1.07,1847.94,1855.07,1824.78,315477,5435825,914757529
2008-01-11,1782.27,-42.51,-2.33,1844.57,1847.11,1776.26,280815,5183153,893723886
2008-01-14,1765.88,-16.39,-0.92,1781,1790.69,1754.13,249324,4592832,885783744
2008-01-15,1746.95,-18.93,-1.07,1781.53,1781.53,1723.14,295548,5665290,876623377
2008-01-16,1704.97,-41.98,-2.4,1715.97,1735.51,1701.32,295614,5614035,856018429
2008-01-17,1723.55,18.58,1.09,1726.03,1732.64,1687.1,296032,6129199,865696689
2008-01-18,1734.72,11.17,0.65,1689.28,1737.42,1684.39,287709,6028941,871159577
2008-01-21,1683.56,-51.16,-2.95,1723.95,1724.39,1673.42,286056,5698908,845748322
2008-01-22,1609.02,-74.54,-4.43,1628.92,1636.06,1578.37,316867,6950698,809205167
2008-01-23,1628.42,19.4,1.21,1652.62,1659.28,1604.54,272142,5862541,818671942
2008-01-24,1663,34.58,2.12,1663.36,1675.69,1649,270633,5395267,836009576
2008-01-25,1692.41,29.41,1.77,1682.93,1692.66,1674.21,272610,5563911,850571892
2008-01-28,1627.19,-65.22,-3.85,1668.07,1674.47,1620.9,259313,4547424,817859881
2008-01-29,1637.91,10.72,0.66,1657.9,1662.9,1622.52,275313,5216166,823507595
2008-01-30,1589.06,-48.85,-2.98,1653,1653.2,1578.29,380515,6363488,799307288
2008-01-31,1624.68,35.62,2.24,1582.19,1630.12,1570.87,334128,6187301,817429349
2008-02-01,1634.53,9.85,0.61,1645.05,1648.97,1619.65,308087,5139661,822252076
2008-02-04,1690.13,55.6,3.4,1655.78,1696.56,1655.78,333083,6129601,850344590
2008-02-05,1696.57,6.44,0.38,1686.2,1697.99,1680.39,253903,4127329,853677304
2008-02-11,1640.67,-55.9,-3.29,1648.51,1651.72,1633.46,234302,4218251,825505784
2008-02-12,1643.29,2.62,0.16,1653.6,1654.62,1641.05,291250,4203481,826699362
2008-02-13,1631.78,-11.51,-0.7,1663.29,1663.95,1629.57,318951,4249391,820789903
2008-02-14,1697.45,65.67,4.02,1660.45,1697.45,1660.45,503946,6002492,853234036
2008-02-15,1694.77,-2.68,-0.16,1672.39,1696.37,1668.41,485515,5318658,851720907
2008-02-18,1696.24,1.47,0.09,1701.75,1714.2,1681.02,374014,4430315,852299332
2008-02-19,1720.52,24.28,1.43,1717.1,1722.71,1708.93,362834,4738934,864578393
2008-02-20,1687.91,-32.61,-1.9,1704.66,1718.15,1683.7,321609,4964972,848413696
2008-02-21,1704.36,16.45,0.97,1708.01,1713.64,1694.58,241930,4453871,856877925
2008-02-22,1686.45,-17.91,-1.05,1687.63,1687.63,1670.69,281412,3852821,848202015
2008-02-25,1709.13,22.68,1.34,1701.75,1715,1701.64,299192,4104318,859289000
2008-02-26,1709.13,0,0,1724.55,1726.47,1704.5,283721,4638114,859063156
2008-02-27,1720.89,11.76,0.69,1725.96,1732.8,1715.81,306567,5031966,864795166
2008-02-28,1736.17,15.28,0.89,1726.08,1739.6,1713.25,257437,4459475,872483014
2008-02-29,1711.62,-24.55,-1.41,1717.69,1721.85,1708.21,315819,4331079,860219016
2008-03-03,1671.73,-39.89,-2.33,1676.3,1676.3,1657.79,237090,4210737,840446102
2008-03-04,1676.18,4.45,0.27,1677.1,1686.59,1665.1,278568,3845661,842463610
2008-03-05,1677.1,0.92,0.05,1680.63,1687.2,1667.87,263575,4087173,842993587
2008-03-06,1697.44,20.34,1.21,1681.39,1705.97,1680.11,359686,5151448,853162112
